accession,source,action,p_purify,wrap_score,wrap_amenable,levers,why,detergent_extract,detergent_polish,detergent_rescue,detergent_avoid,detergent_why
TransportPDB-0294,tt_expressed_not_purified,wrap_rescue,0.5494,0.65,1,drop sequons or use a prokaryotic host; reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.8754,tt_expressed_not_purified,wrap_rescue,0.4401,0.75,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
TransportPDB-0320,tt_expressed_not_purified,redesign,0.4795,0.05,0,drop sequons or use a prokaryotic host; reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,drop sequons or use a prokaryotic host; reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.123137,tt_expressed_not_purified,redesign,0.3744,0.15,0,reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
TMPC-GO.120808,tt_expressed_not_purified,redesign,0.3767,0.05,0,drop sequons or use a prokaryotic host; trim a long extramembrane loop,drop sequons or use a prokaryotic host; trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.2761,tt_expressed_not_purified,wrap_rescue,0.419,0.75,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.2909,tt_expressed_not_purified,standard,0.6242,0.75,1,trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.11110,tt_expressed_not_purified,wrap_rescue,0.2844,0.95,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.13614,tt_expressed_not_purified,wrap_rescue,0.4866,0.75,1,add a fusion-able N- or C-terminus; trim a long extramembrane loop,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.2507,tt_expressed_not_purified,wrap_rescue,0.3693,0.75,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.656,tt_expressed_not_purified,wrap_rescue,0.536,0.75,1,trim a long extramembrane loop,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.672,tt_expressed_not_purified,wrap_rescue,0.4968,0.75,1,add a fusion-able N- or C-terminus,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.2293,tt_expressed_not_purified,wrap_rescue,0.5003,0.75,1,trim a long extramembrane loop,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.8202,tt_expressed_not_purified,wrap_rescue,0.4279,0.75,1,add a fusion-able N- or C-terminus,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.10073,tt_expressed_not_purified,wrap_rescue,0.3717,0.95,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPSBC-Ste24pSm,tt_expressed_not_purified,redesign,0.5037,0.35,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.823,tt_expressed_not_purified,wrap_rescue,0.4362,0.95,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.14218,tt_expressed_not_purified,wrap_rescue,0.4679,0.75,1,trim a long extramembrane loop,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.605,tt_expressed_not_purified,wrap_rescue,0.4287,0.95,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.7700,tt_expressed_not_purified,deprioritize,0.5102,0.35,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.122014,tt_expressed_not_purified,standard,0.5799,0.15,0,trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.11554,tt_expressed_not_purified,standard,0.5641,0.35,0,,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.125,tt_expressed_not_purified,redesign,0.385,0.15,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.14488,tt_expressed_not_purified,standard,0.5762,0.75,1,trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.121159,tt_expressed_not_purified,redesign,0.4227,0.15,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.2661,tt_expressed_not_purified,redesign,0.5036,0.35,0,reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.509,tt_expressed_not_purified,deprioritize,0.3813,0.35,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
CSMP-3435C,tt_expressed_not_purified,standard,0.6352,0.05,0,drop sequons or use a prokaryotic host; reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.3022,tt_expressed_not_purified,wrap_rescue,0.5038,0.75,1,add a fusion-able N- or C-terminus,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.7891,tt_expressed_not_purified,deprioritize,0.4824,0.35,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.14284,tt_expressed_not_purified,redesign,0.5008,0.35,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.14216,tt_expressed_not_purified,standard,0.5554,0.35,0,,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.124286,tt_expressed_not_purified,redesign,0.4525,0.15,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
TMPC-GO.122330,tt_expressed_not_purified,standard,0.594,0.05,0,drop sequons or use a prokaryotic host; trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.120248,tt_expressed_not_purified,deprioritize,0.3643,0.0,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.8708,tt_expressed_not_purified,redesign,0.4218,0.35,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.2610,tt_expressed_not_purified,standard,0.6365,0.95,1,,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.3513,tt_expressed_not_purified,wrap_rescue,0.4724,0.75,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
CSMP-2269S,tt_expressed_not_purified,redesign,0.4597,0.35,0,reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
TransportPDB-0099,tt_expressed_not_purified,wrap_rescue,0.5308,0.65,1,drop sequons or use a prokaryotic host; reduce disulfides / skip eukaryotic folding; add a fusion-able N- or C-terminus,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.8328,tt_expressed_not_purified,standard,0.5639,0.75,1,add a fusion-able N- or C-terminus,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.10943,tt_expressed_not_purified,deprioritize,0.3594,0.35,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPSBC-Ste24pSm,tt_expressed_not_purified,redesign,0.5044,0.05,0,drop sequons or use a prokaryotic host; trim a long extramembrane loop,drop sequons or use a prokaryotic host; trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.118938,tt_expressed_not_purified,deprioritize,0.5024,0.15,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.3081,tt_expressed_not_purified,standard,0.679,0.45,0,drop sequons or use a prokaryotic host; trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.120292,tt_expressed_not_purified,redesign,0.4401,0.15,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
TMPC-GO.118905,tt_expressed_not_purified,wrap_rescue,0.4932,0.75,1,add a fusion-able N- or C-terminus,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.13965,tt_expressed_not_purified,redesign,0.5172,0.35,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.8780,tt_expressed_not_purified,wrap_rescue,0.4895,0.95,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.11628,tt_expressed_not_purified,deprioritize,0.4258,0.35,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.14327,tt_expressed_not_purified,standard,0.6463,0.75,1,trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.947,tt_expressed_not_purified,redesign,0.4117,0.35,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.13665,tt_expressed_not_purified,wrap_rescue,0.4921,0.75,1,trim a long extramembrane loop,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.2894,tt_expressed_not_purified,standard,0.5847,0.75,1,trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.14274,tt_expressed_not_purified,deprioritize,0.4727,0.35,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.7959,tt_expressed_not_purified,standard,0.5861,0.35,0,trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.7647,tt_expressed_not_purified,wrap_rescue,0.4294,0.95,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.19281,tt_expressed_not_purified,wrap_rescue,0.5145,0.75,1,trim a long extramembrane loop,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.6351,tt_expressed_not_purified,wrap_rescue,0.4152,0.95,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.7214,tt_expressed_not_purified,wrap_rescue,0.4465,0.75,1,,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.9821,tt_expressed_not_purified,deprioritize,0.4493,0.35,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.13464,tt_expressed_not_purified,redesign,0.5284,0.15,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPP-GO.118934,tt_expressed_not_purified,redesign,0.2207,0.15,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.3118,tt_expressed_not_purified,redesign,0.446,0.15,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
CSMP-1081C,tt_expressed_not_purified,redesign,0.4065,0.15,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.4714,tt_expressed_not_purified,redesign,0.5189,0.35,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.9601,tt_expressed_not_purified,deprioritize,0.485,0.35,0,,"low purify score, not WRAP-amenable, no obvious construct lever",1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
MPSBC-Rgt2p,tt_expressed_not_purified,standard,0.722,0.45,0,drop sequons or use a prokaryotic host; reduce disulfides / skip eukaryotic folding; trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.13723,tt_expressed_not_purified,standard,0.5594,0.35,0,trim a long extramembrane loop,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.44,tt_expressed_not_purified,redesign,0.504,0.35,0,trim a long extramembrane loop,trim a long extramembrane loop,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.13807,tt_expressed_not_purified,standard,0.5569,0.75,1,add a fusion-able N- or C-terminus,sequence resembles TargetTrack purified (given expression),1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
NYCOMPS-GO.201,tt_expressed_not_purified,wrap_rescue,0.5056,0.75,1,add a fusion-able N- or C-terminus; trim a long extramembrane loop,standard purify looks unlikely; termini/TM belt look WRAP-amenable,1% w/v DDM,0.03% w/v DDM (IMAC/SEC),LMNG / DMNG / GDN,fos-choline and PEG as 'stability' detergents (Kotov); glucosides weaker on IMAC (Högbom),Lin/Kotov/Högbom first-line helical IMP extract (DDM)
